CategoryID,Name
1,Category 1
2,Category 2
3,Category 3
4,Category 4
5,Category 5
6,Category 6
7,Category 7
8,Category 8
9,Category 9
10,Category 10
11,Category 11
12,Category 12
13,Category 13
14,Category 14
15,Category 15
16,Category 16
17,Category 17
18,Category 18
19,Category 19
20,Category 20
21,Category 21
22,Category 22
23,Category 23
24,Category 24
25,Category 25
26,Category 26
27,Category 27
28,Category 28
29,Category 29
30,Category 30
31,Category 31
32,Category 32
33,Category 33
34,Category 34
35,Category 35
36,Category 36
37,Category 37
38,Category 38
39,Category 39
40,Category 40
41,Category 41
42,Category 42
43,Category 43
44,Category 44
45,Category 45
46,Category 46
47,Category 47
48,Category 48
49,Category 49
50,Category 50
