OrderID,ProductID,Quantity
1036,5,6
1017,26,7
1041,22,8
1041,34,9
1016,33,10
1046,33,7
1036,24,10
1035,30,6
1037,26,1
1013,1,5
1016,40,7
1004,48,7
1025,21,4
1036,44,5
1030,25,2
1008,50,2
1035,32,7
1002,25,9
1025,28,7
1003,1,6
1006,24,5
1022,12,2
1009,40,3
1041,36,1
1034,10,2
1031,44,5
1050,22,8
1048,12,6
1014,34,3
1019,10,6
1020,37,3
1031,43,7
1019,37,7
1010,14,4
1018,32,2
1035,1,6
1026,39,7
1037,2,10
1030,50,8
1050,22,2
1028,6,3
1036,36,5
1027,32,4
1033,23,2
1020,46,2
1044,20,6
1014,47,8
1014,13,9
1038,27,8
1017,47,4
