OrderID,CustomerID,Date
1001,28,2024-05-14
1002,5,2024-02-20
1003,47,2024-08-31
1004,37,2024-05-23
1005,41,2024-01-10
1006,19,2024-05-17
1007,12,2024-01-17
1008,41,2024-11-08
1009,18,2024-08-28
1010,13,2024-04-26
1011,20,2024-02-15
1012,19,2024-08-29
1013,33,2024-12-16
1014,28,2024-05-09
1015,32,2024-05-31
1016,1,2024-07-17
1017,15,2024-09-13
1018,8,2024-12-19
1019,47,2024-06-08
1020,12,2024-12-10
1021,19,2024-04-05
1022,47,2024-05-11
1023,12,2024-10-28
1024,6,2024-10-22
1025,41,2024-05-02
1026,6,2024-08-19
1027,25,2024-06-26
1028,47,2024-06-02
1029,3,2024-09-03
1030,45,2024-06-22
1031,46,2024-04-01
1032,4,2024-07-28
1033,7,2024-02-18
1034,10,2024-07-07
1035,44,2024-04-30
1036,11,2024-10-02
1037,47,2024-11-25
1038,35,2024-12-08
1039,44,2024-01-17
1040,5,2024-09-12
1041,31,2024-01-23
1042,26,2024-05-14
1043,43,2024-02-27
1044,44,2024-12-05
1045,38,2024-02-22
1046,42,2024-03-16
1047,20,2024-10-20
1048,33,2024-03-29
1049,25,2024-02-15
1050,10,2024-10-12
