ID,Name,Price,Stock
1,Product 1,498.2,453
2,Product 2,27.26,256
3,Product 3,231.57,341
4,Product 4,33.8,444
5,Product 5,149.63,185
6,Product 6,437.54,146
7,Product 7,107.79,424
8,Product 8,452.13,435
9,Product 9,366.75,255
10,Product 10,7.85,233
11,Product 11,188.34,181
12,Product 12,371.1,367
13,Product 13,381.88,318
14,Product 14,179.33,114
15,Product 15,204.01,28
16,Product 16,289.6,427
17,Product 17,444.87,310
18,Product 18,53.29,277
19,Product 19,489.24,472
20,Product 20,191.75,371
21,Product 21,305.75,484
22,Product 22,396.58,152
23,Product 23,178.8,486
24,Product 24,7.45,148
25,Product 25,289.21,496
26,Product 26,412.63,437
27,Product 27,478.56,245
28,Product 28,209.68,222
29,Product 29,120.01,141
30,Product 30,199.68,467
31,Product 31,109.8,234
32,Product 32,148.54,286
33,Product 33,235.32,359
34,Product 34,221.83,73
35,Product 35,325.16,140
36,Product 36,425.18,264
37,Product 37,464.68,229
38,Product 38,112.81,62
39,Product 39,33.89,264
40,Product 40,317.93,251
41,Product 41,28.71,189
42,Product 42,213.46,417
43,Product 43,292.97,364
44,Product 44,469.71,238
45,Product 45,228.68,89
46,Product 46,225.31,283
47,Product 47,445.61,260
48,Product 48,236.28,373
49,Product 49,275.12,356
50,Product 50,421.25,60
